Siruta,Localitate,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64
1017,MUNICIPIUL ALBA IULIA,1.216,4.003,20.099,27.976,28.941,4.172,1.413,10.669
1071,CIUGUD,0.902,7.438,16.98,41.397,16.228,2.855,1.503,11.57
1151,ORAS ABRUD,1.322,2.832,42.605,28.446,8.496,3.587,0.629,10.824
1213,MUNICIPIUL AIUD,12.914,2.431,26.328,27.362,17.534,2.983,1.276,8.172
1348,MUNICIPIUL BLAJ,2.762,2.818,16.24,44.624,11.494,2.317,1.353,16.222
1455,ORAS CAMPENI,0.382,1.451,33.372,34.784,6.911,2.673,2.329,17.449
1696,ORAS CUGIR,0.71,3.277,27.389,34.943,15.963,2.291,1.74,12.73
1794,ORAS OCNA MURES,5.369,6.637,21.178,41.312,10.925,4.773,1.268,7.644
1874,MUNICIPIUL SEBES,0.486,4.453,16.516,42.869,18.756,2.078,1.255,12.684
1936,ORAS ZLATNA,1.117,4.514,25.919,35.272,8.655,5.77,0.465,17.31
2130,ALBAC,0.148,2.226,20.92,39.021,3.858,3.412,1.484,26.706
2309,ALMASU MARE,1.082,17.965,14.935,34.199,10.173,6.061,1.082,13.636
2381,ARIESENI,0,1.144,24.371,59.611,2.517,3.547,0.343,8.467
2577,AVRAM IANCU,0,3.782,22.899,51.05,4.622,4.202,3.571,9.664
2915,ORAS BAIA DE ARIES,1.047,3.246,33.403,27.644,10.366,3.665,1.152,18.953
2988,BERGHIN,1.064,9.362,12.766,48.298,9.362,1.702,0.638,15.745
3039,BISTRA,0.484,2.177,32.984,35.242,6.29,3.065,1.613,17.339
3397,BLANDIANA,1.02,2.721,15.646,51.361,10.884,2.041,1.02,13.946
3459,BUCIUM,0.665,2.661,59.202,19.069,3.326,3.104,0.887,10.2
3761,CENADE,0.366,1.832,8.791,65.934,5.861,4.029,0.366,12.454
3805,CERGAU,1.634,1.307,14.052,49.183,12.745,1.797,2.451,12.908
3841,CERU-BACAINTI,1.266,52.532,11.392,25.316,5.063,0.633,1.899,1.266
3958,CETATEA DE BALTA,7.84,3.026,17.882,31.912,6.74,2.063,0.963,27.648
4008,CIURULEASA,0.358,1.61,67.8,13.596,5.367,0.894,0.894,8.766
