Siruta,Localitate,Categorie
1017,MUNICIPIUL ALBA IULIA,Barbati_18-24
1071,CIUGUD,Barbati_18-24
1151,ORAS ABRUD,Femei_35-44
1213,MUNICIPIUL AIUD,Femei_35-44
1348,MUNICIPIUL BLAJ,Femei_35-44
1455,ORAS CAMPENI,Barbati_18-24
1696,ORAS CUGIR,Barbati_18-24
1794,ORAS OCNA MURES,Femei_35-44
1874,MUNICIPIUL SEBES,Barbati_18-24
1936,ORAS ZLATNA,Femei_35-44
2130,ALBAC,Barbati_18-24
2309,ALMASU MARE,Barbati_18-24
2381,ARIESENI,Barbati_18-24
2577,AVRAM IANCU,Barbati_18-24
2915,ORAS BAIA DE ARIES,Barbati_18-24
2988,BERGHIN,Femei_35-44
3039,BISTRA,Barbati_18-24
3397,BLANDIANA,Barbati_18-24
3459,BUCIUM,Barbati_18-24
3761,CENADE,Barbati_18-24
3805,CERGAU,Barbati_25-34
3841,CERU-BACAINTI,Femei_25-34
3958,CETATEA DE BALTA,Femei_35-44
4008,CIURULEASA,Barbati_18-24
4106,CALNIC,Barbati_18-24
4142,CRICAU,Barbati_18-24
4188,CRACIUNELU DE JOS,Barbati_18-24
4240,DAIA ROMANA,Barbati_18-24
4268,DOSTAT,Barbati_18-24
4302,FARAU,Femei_35-44
4366,GALDA DE JOS,Femei_35-44
4482,GARBOVA,Femei_25-34
4525,GARDA DE SUS,Barbati_18-24
4703,HOPARTA,Femei_35-44
4767,HOREA,Barbati_18-24
4927,IGHIU,Femei_35-44
4981,INTREGALDE,Barbati_18-24
5103,JIDVEI,Femei_35-44
5167,LIVEZILE,Femei_35-44
5210,LOPADEA NOUA,Femei_35-44
5309,LUNCA MURESULUI,Femei_35-44
5336,LUPSA,Barbati_18-24
5577,METES,Barbati_18-24
5700,MIHALT,Barbati_18-24
5755,MIRASLAU,Barbati_25-34
5826,MOGOS,Femei_35-44
6048,NOSLAC,Femei_35-44
6119,OCOLIS,Barbati_18-24
6164,OHABA,Barbati_18-24
6217,PIANU,Barbati_18-24
6271,POIANA VADULUI,Femei_35-44
6397,PONOR,Barbati_18-24
6468,POSAGA,Barbati_18-24
6547,RADESTI,Femei_35-44
6592,RIMETEA,Femei_35-44
6627,RAMET,Femei_35-44
6761,ROSIA MONTANA,Barbati_18-24
6930,ROSIA DE SECAS,Barbati_18-24
6976,SALCIUA,Femei_35-44
7044,SALISTEA,Barbati_18-24
7099,SASCIORI,Femei_35-44
7197,SCARISOARA,Barbati_18-24
7348,SANCEL,Femei_35-44
7384,SANTIMBRU,Barbati_18-24
7446,SOHODOL,Barbati_18-24
7767,STREMT,Barbati_18-24
7810,SIBOT,Barbati_18-24
7865,SONA,Femei_35-44
7945,SPRING,Barbati_18-24
8014,SUGAG,Barbati_18-24
8096,ORAS TEIUS,Femei_35-44
8158,UNIREA,Femei_35-44
8229,VADU MOTILOR,Barbati_18-24
8354,VALEA LUNGA,Femei_35-44
8425,VIDRA,Barbati_18-24
8826,VINTU DE JOS,Femei_35-44
9019,CUT,Barbati_18-24
9026,BUCERDEA GRANOASA,Femei_35-44
9262,MUNICIPIUL ARAD,Femei_35-44
9280,FANTANELE,Femei_35-44
9333,LIVADA,Femei_35-44
9360,SOFRONEA,Femei_35-44
9397,VLADIMIRESCU,Femei_35-44
9459,ORAS CHISINEU-CRIS,Femei_25-34
9495,ORAS CURTICI,Femei_35-44
9538,ORAS INEU,Femei_35-44
9574,ORAS LIPOVA,Femei_35-44
9627,ORAS NADLAC,Femei_35-44
9654,ORAS PANCOTA,Femei_25-34
9690,ORAS SEBIS,Barbati_18-24
9743,ALMAS,Barbati_18-24
9798,APATEU,Barbati_18-24
9832,ARCHIS,Barbati_18-24
9887,BATA,Barbati_18-24
9930,BELIU,Barbati_18-24
10006,BIRCHIS,Barbati_18-24
10051,BARSA,Barbati_18-24
10104,BARZAVA,Barbati_18-24
10195,BOCSIG,Barbati_18-24
10239,BRAZII,Barbati_18-24
10293,BUTENI,Barbati_18-24
10346,CARAND,Femei_25-34
10373,CERMEI,Femei_35-44
10417,CHISINDIA,Barbati_18-24
10453,CONOP,Barbati_18-24
10514,COVASINT,Barbati_18-24
10532,CRAIVA,Barbati_18-24
10649,DEZNA,Barbati_18-24
10701,DIECI,Barbati_18-24
10765,USUSAU,Barbati_18-24
10827,FELNAC,Barbati_18-24
10872,GHIOROC,Femei_35-44
10916,GRANICERI,Barbati_18-24
10943,GURAHONT,Barbati_18-24
11058,HALMAGIU,Barbati_18-24
11174,HALMAGEL,Barbati_18-24
11236,HASMAS,Barbati_18-24
11307,IGNESTI,Femei_35-44
11352,IRATOSU,Barbati_25-34
11398,MACEA,Barbati_18-24
11423,MISCA,Femei_35-44
11478,MONEASA,Femei_35-44
11502,OLARI,Femei_35-44
11539,PAULIS,Femei_35-44
11584,ORAS PECICA,Femei_35-44
11637,PEREGU MARE,Femei_35-44
11664,PETRIS,Barbati_18-24
11735,PILU,Barbati_18-24
11762,PLESCUTA,Barbati_18-24
11842,SAVARSIN,Barbati_18-24
11940,SECUSIGIU,Femei_35-44
11995,SELEUS,Barbati_18-24
12037,SEMLAC,Femei_35-44
12055,SINTEA MARE,Femei_35-44
12091,ORAS SANTANA,Barbati_18-24
12126,SOCODOR,Femei_35-44
12144,SAGU,Barbati_18-24
12206,SEITIN,Barbati_18-24
12224,SEPREUS,Barbati_18-24
12242,SICULA,Barbati_18-24
12288,SILINDIA,Femei_35-44
12340,SIMAND,Barbati_18-24
12368,SIRIA,Barbati_18-24
12402,SISTAROVAT,Barbati_18-24
12457,TAUT,Barbati_18-24
12509,TARNOVA,Barbati_18-24
12572,VARADIA DE MURES,Barbati_18-24
12643,VINGA,Femei_35-44
12689,VARFURILE,Barbati_18-24
12778,ZABRANI,Barbati_18-24
12812,ZARAND,Barbati_18-24
12849,ZERIND,Femei_18-24
12876,ZIMANDU NOU,Femei_35-44
12912,DOROBANTI,Femei_35-44
12920,FRUMUSENI,Barbati_18-24
12938,ZADARENI,Femei_35-44
13169,MUNICIPIUL PITESTI,Barbati_18-24
13187,BASCOV,Barbati_18-24
13276,BRADU,Barbati_18-24
13301,ORAS MIOVENI,Barbati_18-24
13365,MARACINENI,Barbati_18-24
13392,ORAS STEFANESTI,Barbati_18-24
13490,MUNICIPIUL CAMPULUNG,Barbati_18-24
13524,VALEA MARE-PRAVAT,Barbati_18-24
13622,MUNICIPIUL CURTEA DE ARGES,Barbati_18-24
13668,ORAS COSTESTI,Barbati_18-24
13757,ORAS TOPOLOVENI,Barbati_18-24
13819,ALBESTII DE ARGES,Barbati_18-24
13891,ALBESTII DE MUSCEL,Barbati_18-24
13935,ALBOTA,Barbati_18-24
13999,ANINOASA,Barbati_18-24
14049,AREFU,Barbati_18-24
14085,BABANA,Barbati_18-24
14165,BAICULESTI,Barbati_18-24
14272,BALILESTI,Barbati_18-24
14352,BELETI-NEGRESTI,Barbati_18-24
14405,BEREVOESTI,Barbati_18-24
14450,BARLA,Barbati_18-24
14584,BOGATI,Barbati_18-24
14673,BOTENI,Barbati_18-24
14726,BOTESTI,Barbati_18-24
14753,BRADULET,Barbati_18-24
14851,BUDEASA,Barbati_18-24
14922,BUGHEA DE JOS,Barbati_18-24
14940,BUZOESTI,Barbati_18-24
15064,CALDARARU,Barbati_18-24
15108,CALINESTI,Barbati_18-24
15233,CATEASCA,Barbati_18-24
15313,CEPARI,Barbati_18-24
15402,CETATENI,Barbati_18-24
15448,CICANESTI,Barbati_18-24
15493,CIOFRANGENI,Barbati_18-24
15554,CIOMAGESTI,Barbati_18-24
15652,COCU,Barbati_18-24
15741,CORBENI,Barbati_18-24
15830,CORBI,Barbati_18-24
15901,COSESTI,Barbati_18-24
15983,COTMEANA,Barbati_18-24
16132,CUCA,Barbati_18-24
16285,DAVIDESTI,Barbati_18-24
16329,DAMBOVICIOARA,Barbati_18-24
16365,DARMANESTI,Barbati_18-24
16427,DOBRESTI,Femei_35-44
16454,DOMNESTI,Barbati_18-24
16472,DRAGOSLAVELE,Barbati_18-24
16506,DRAGANU,Barbati_18-24
16551,GODENI,Barbati_18-24
16613,HARSEȘTI,Barbati_18-24
16659,HARTIESTI,Barbati_18-24
16739,IZVORU,Barbati_18-24
16757,LEORDENI,Barbati_18-24
16908,LERESTI,Barbati_18-24
16944,LUNCA CORBULUI,Barbati_18-24
17049,MALURENI,Barbati_18-24
17101,MERISANI,Barbati_18-24
17209,MICESTI,Barbati_18-24
17254,MIHAESTI,Barbati_18-24
17334,MIOARELE,Barbati_18-24
17398,MIROSI,Barbati_18-24
17423,MORARESTI,Barbati_18-24
17496,MOSOAIA,Barbati_18-24
17575,MOZACENI,Barbati_18-24
17619,MUSATESTI,Barbati_18-24
17726,NEGRASI,Barbati_18-24
17771,NUCSOARA,Barbati_18-24
17824,OARJA,Barbati_18-24
17851,PIETROSANI,Barbati_18-24
17913,POIENARII DE ARGES,Barbati_18-24
17968,POIENARII DE MUSCEL,Barbati_18-24
18028,POIANA LACULUI,Barbati_18-24
18162,POPESTI,Barbati_18-24
18242,PRIBOIENI,Barbati_18-24
18331,RATESTI,Barbati_18-24
18411,RECEA,Barbati_18-24
18475,ROCIU,Barbati_18-24
18527,RUCAR,Barbati_18-24
18554,SALATRUCU,Femei_35-44
18581,SAPATA,Barbati_18-24
18670,SCHITU GOLESTI,Barbati_18-24
18741,SLOBOZIA,Barbati_18-24
18778,STALPENI,Barbati_18-24
18858,STOENESTI,Barbati_18-24
18938,STOLNICI,Barbati_18-24
19007,SUSENI,Barbati_18-24
19114,STEFAN CEL MARE,Barbati_18-24
19141,SUICI,Barbati_18-24
19212,TEIU,Barbati_18-24
19249,TIGVENI,Barbati_18-24
19338,TITESTI,Barbati_18-24
19392,UDA,Barbati_18-24
19560,UNGHENI,Barbati_18-24
19631,VALEA DANULUI,Barbati_18-24
19695,VALEA IASULUI,Barbati_18-24
19793,VEDEA,Barbati_18-24
19999,VLADESTI,Barbati_18-24
20048,RACA,Barbati_18-24
20055,VULTURESTI,Barbati_18-24
20063,BUGHEA DE SUS,Barbati_18-24
20297,MUNICIPIUL BACAU,Barbati_18-24
20313,HEMEIUS,Barbati_18-24
20359,LETEA VECHE,Barbati_18-24
20411,MAGURA,Barbati_18-24
20466,MARGINENI,Barbati_18-24
20563,MUNICIPIUL ONESTI,Barbati_18-24
20607,GURA VAII,Barbati_18-24
20670,STEFAN CEL MARE,Barbati_18-24
20778,ORAS BUHUSI,Barbati_18-24
20821,ORAS COMANESTI,Barbati_18-24
20876,MUNICIPIUL MOINESTI,Barbati_18-24
20910,ORAS SLANIC-MOLDOVA,Barbati_18-24
20965,ORAS TARGU OCNA,Barbati_18-24
21007,AGAS,Barbati_25-34
21098,ARDEOANI,Barbati_18-24
21123,ASAU,Barbati_18-24
21196,BALCANI,Barbati_18-24
21249,BERESTI-BISTRITA,Barbati_18-24
21338,BERESTI-TAZLAU,Barbati_18-24
21418,BERZUNTI,Barbati_18-24
21454,BARSANESTI,Barbati_18-24
21506,BLAGESTI,Barbati_18-24
21560,BOGDANESTI,Barbati_18-24
21597,BRUSTUROASA,Barbati_18-24
21668,BUHOCI,Barbati_18-24
21720,CASIN,Barbati_18-24
21757,CAIUTI,Barbati_18-24
21855,CLEJA,Femei_35-44
21891,COLONESTI,Barbati_18-24
21971,CORBASCA,Barbati_18-24
22059,COTOFANESTI,Barbati_18-24
22111,DAMIENESTI,Barbati_18-24
22166,ORAS DARMANESTI,Barbati_18-24
22237,DEALU MORII,Barbati_18-24
22380,DOFTEANA,Barbati_18-24
22460,FARAOANI,Barbati_18-24
22488,FILIPENI,Barbati_18-24
22576,FILIPESTI,Barbati_18-24
22665,GAICEANA,Barbati_25-34
22718,GHIMES-FAGET,Barbati_25-34
22781,GARLENI,Barbati_18-24
22834,GLAVANESTI,Barbati_18-24
22898,HELEGIU,Barbati_18-24
22941,HORGESTI,Barbati_18-24
23047,HURUIESTI,Barbati_18-24
23127,IZVORU BERHECIULUI,Barbati_18-24
23207,LIPOVA,Barbati_18-24
23289,LIVEZI,Barbati_18-24
23350,LUIZI-CALUGARA,Femei_35-44
23387,MAGIRESTI,Barbati_18-24
23449,MANASTIREA CASIN,Barbati_18-24
23494,MOTOSENI,Barbati_18-24
23644,NEGRI,Barbati_18-24
23715,NICOLAE BALCESCU,Femei_35-44
23797,OITUZ,Barbati_18-24
23868,ONCESTI,Femei_35-44
23948,ORBENI,Barbati_18-24
23975,PALANCA,Barbati_18-24
24034,PARAVA,Barbati_18-24
24089,PARINCEA,Barbati_18-24
24187,PANCESTI,Barbati_18-24
24276,PARGARESTI,Barbati_18-24
24338,PARJOL,Barbati_18-24
24427,PLOPANA,Barbati_18-24
24524,PODU TURCULUI,Barbati_18-24
24631,PODURI,Barbati_18-24
24711,RACOVA,Barbati_18-24
24766,RACACIUNI,Barbati_18-24
24837,RACHITOASA,Barbati_18-24
24999,ROSIORI,Femei_25-34
25068,SASCUT,Barbati_18-24
